a, b   | 0.25    0.5   0.75    1.0   1.25    1.5   1.75    2.0  
-------|--------------------------------------------------------
10.0   |  0.7    0.7    0.7    0.7   0.65   0.65   0.65    0.7  
10.0   |  0.7    0.7    0.7    0.7    0.7    0.7    0.7   0.75  
10.0   | 0.55    0.7    0.7    0.7    0.7    0.7   0.65   0.65  
10.0   |  0.4    0.7    0.7    0.7   0.65    0.6    0.6    0.6  
10.0   |  0.4   0.65    0.7   0.65    0.6    0.6    0.6    0.6  
10.0   | 0.45   0.65   0.65   0.65    0.6    0.6    0.6    0.6  
10.0   | 0.45    0.6   0.65   0.65    0.6    0.6    0.6    0.6  
10.0   | 0.45    0.6   0.65   0.65   0.65   0.65   0.65   0.65  
10.0   | 0.45   0.55    0.6   0.65   0.65   0.65   0.65   0.65  
10.0   | 0.45    0.5    0.6   0.65   0.65   0.65   0.65   0.65  
